NAICS,SIC
336611,3731
488390,3731
336612,3732
811490,3732
333914,3743
336510,3743
336991,3751
336414,3761
541713,3761
336415,3764
541713,3764
336419,3769
541713,3769
336214,3792
336992,3795
333924,3799
336214,3799
336390,3799
336999,3799
334511,3812
333249,3821
333415,3821
333994,3821
333997,3821
333999,3821
337127,3821
339113,3821
334512,3822
334513,3823
334514,3824
334514,3825
334515,3825
334516,3826
333314,3827
334514,3829
334519,3829
334519,3829
339112,3829
332994,3841
333249,3841
333415,3841
333994,3841
333997,3841
333999,3841
337127,3841
339112,3841
339113,3841
322291,3842
334510,3842
339113,3842
339999,3842
339114,3843
334517,3844
334510,3845
334517,3845
339113,3851
339115,3851
325992,3861
333316,3861
334519,3873
339910,3911
332215,3914
332999,3914
339910,3914
334519,3915
339910,3915
339992,3931
339930,3942
336991,3944
339930,3944
339920,3949
339940,3951
325998,3952
337127,3952
339940,3952
339940,3953
339940,3955
339910,3961
339993,3961
339993,3965
339994,3991
323113,3993
339950,3993
339995,3995
326199,3996
316110,3999
321999,3999
325998,3999
326199,3999
332215,3999
332216,3999
332812,3999
332999,3999
333318,3999
335121,3999
335210,3999
336612,3999
337127,3999
339930,3999
339999,3999
482111,4011
482112,4013
488210,4013
485111,4111
485112,4111
485113,4111
485119,4111
485999,4111
485320,4119
485410,4119
485991,4119
485999,4119
487110,4119
621910,4119
485310,4121
485210,4131
485510,4141
485510,4142
485410,4151
488490,4173
484110,4212
484210,4212
484220,4212
562111,4212
562112,4212
562119,4212
484121,4213
484122,4213
484210,4213
484230,4213
484110,4214
484210,4214
484220,4214
492110,4215
492210,4215
493130,4221
493120,4222
493110,4225
531130,4225
493110,4226
493120,4226
493190,4226
488490,4231
491110,4311
483111,4412
483113,4424
483113,4432
483211,4449
483112,4481
483114,4481
483114,4482
483212,4482
483212,4489
487210,4489
488310,4491
488320,4491
488330,4492
713930,4493
483211,4499
488310,4499
488330,4499
488390,4499
532411,4499
541990,4499
481111,4512
481112,4512
492110,4513
481211,4522
481212,4522
481219,4522
487990,4522
621910,4522
488111,4581
488119,4581
488190,4581
561720,4581
811420,4581
486110,4612
486910,4613
486990,4619
561510,4724
561520,4725
488999,4729
561599,4729
488510,4731
541614,4731
488210,4741
532411,4741
488991,4783
488390,4785
488490,4785
487110,4789
488210,4789
488999,4789
722310,4789
517312,4812
517911,4812
517311,4813
517911,4813
517311,4822
515111,4832
515112,4832
515120,4833
515210,4841
517311,4841
485310,4899
517312,4899
517410,4899
517919,4899
812990,4899
221111,4911
221112,4911
221113,4911
221114,4911
221115,4911
221116,4911
221117,4911
221118,4911
221121,4911
221122,4911
486210,4922
221210,4923
486210,4923
221210,4924
221210,4925
221111,4931
221112,4931
221113,4931
221114,4931
221115,4931
221116,4931
221117,4931
221118,4931
221121,4931
221122,4931
221210,4931
221210,4932
221111,4939
221112,4939
221113,4939
221114,4939
221115,4939
221116,4939
221117,4939
221118,4939
221121,4939
221122,4939
221210,4939
221310,4941
221320,4952
562211,4953
562212,4953
562213,4953
562219,4953
562920,4953
488119,4959
488490,4959
561710,4959
561790,4959
562910,4959
562998,4959
221330,4961
221310,4971
423110,5012
425110,5012
425120,5012
423120,5013
425110,5013
425120,5013
441310,5013
423130,5014
425110,5014
425120,5014
441320,5014
423140,5015
425110,5015
425120,5015
441310,5015
423210,5021
425110,5021
425120,5021
442110,5021
423220,5023
425110,5023
425120,5023
442210,5023
423310,5031
425110,5031
425120,5031
444110,5031
423320,5032
425110,5032
425120,5032
444190,5032
423330,5033
425110,5033
425120,5033
444190,5033
423310,5039
423390,5039
425110,5039
425120,5039
444190,5039
423410,5043
425110,5043
425120,5043
423420,5044
425110,5044
425120,5044
453210,5044
423430,5045
425110,5045
425120,5045
443142,5045
423440,5046
425110,5046
425120,5046
423450,5047
425110,5047
425120,5047
446199,5047
423460,5048
425110,5048
425120,5048
423490,5049
425110,5049
425120,5049
453210,5049
423510,5051
425110,5051
425120,5051
423520,5052
425110,5052
425120,5052
423610,5063
425110,5063
425120,5063
444190,5063
423620,5064
423720,5064
425110,5064
425120,5064
443141,5064
443142,5064
444190,5064
423690,5065
425110,5065
425120,5065
443142,5065
443142,5065
423710,5072
425110,5072
425120,5072
444130,5072
423620,5074
423720,5074
425110,5074
425120,5074
444190,5074
423730,5075
425110,5075
425120,5075
423740,5078
425110,5078
425120,5078
423810,5082
425110,5082
425120,5082
423820,5083
425110,5083
425120,5083
444210,5083
423830,5084
425110,5084
425120,5084
423830,5085
423840,5085
425110,5085
425120,5085
453998,5085
423850,5087
425110,5087
425120,5087
446120,5087
423860,5088
425110,5088
425120,5088
423910,5091
425110,5091
425120,5091
451110,5091
423920,5092
425110,5092
425120,5092
451120,5092
423930,5093
425110,5093
425120,5093
423940,5094
425110,5094
425120,5094
448310,5094
423990,5099
425110,5099
425120,5099
443142,5099
444190,5099
451110,5099
451120,5099
424110,5111
425110,5111
425120,5111
453210,5111
424120,5112
425110,5112
425120,5112
453210,5112
424130,5113
425110,5113
425120,5113
453998,5113
424210,5122
425110,5122
425120,5122
446110,5122
446120,5122
446191,5122
313310,5131
313310,5131
424310,5131
425110,5131
425120,5131
451130,5131
423910,5136
424320,5136
425110,5136
425120,5136
448110,5136
448190,5136
423910,5137
424330,5137
425110,5137
425120,5137
448120,5137
448130,5137
448190,5137
424340,5139
425110,5139
425120,5139
448210,5139
424410,5141
